Q,A
2000원 빼고 보냉 점 괜찮니,ㅋㅋㅋㅋ 하루종일 누워있다가 방금 일어났어 이제 알바가야지
난 뭔 정신으로 일하고있는지 모르겠음 어무니한테 안 혼났어?,장원이집에서 12까지 자고 집갔는데 엄마 이미 나갔더라고 ㅋㅋㅋㅋㅋ 이따 집에서 혼나지않을까 혹시 나 어제 실수했어?? 기억이 사라졌어 ㅋㅋㅋㅋ
진짜 기억안나?,드문드문 너희 집 간거까진 다 기억나 전담핀거 등등
깨우니까 화낸건?,응? 아니지? ㅋㅋㅋㅋㅋㅋ 또? 내 주머니에 모르는 마스크가 있던데 너희집에있는거 가지고온듯ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
그거 내가 넣어준거야 이번엔 진심이던데,ㅋㅋ.. 기억안나니깐 무죄..? 근데 내가 화를 낼 리가 없는데 잘못본거네 너가 잘못뵜어ㅇㅇ
화내니까 무섭던데 난 울뻔했지만 너가 기억 안난다면 무죄지,ㅋㅋㅋㅋㅋㅋㅋ 나 멱살잡아 내가 미안해
미안하면 끝나고 전화해,100번도 가능 이따 전화할게
나는 퇴근,나도 끝 지하철내리고 전화할게 26000 돈보냈어~
잉 땡큐~,다 부서진 쿠키 시식 들어갑니다 ㅋㅋㅋㅋㅋ
ㅋㅋㅋ어떤데,알바 때려치고 쿠키사러가?
ㅋㅋ맛있지 집에서도 자주 만드는데 나랑 놀면 얻어먹을 수 있어,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 자주 놀아야겠네^^ 오늘 장원이랑 만날꺼지? 역할에서 간맥 ㄱ?
피곤해서 집 가려고 했는데^^^ 준서 먹고싶으면 가고~,ㅋㅋㅋㅋㅋ 가즈아~ 맞네 오늘 피곤하겠구나
그치만 준서 보러감~,고맙네 오늘 짜파구리 꼭 먹고싶었는데
가는중,천천히 와 나도 이제 시작했어 근처오면 말해 나갈게
넹~~ 긔엽지,귀엽네 근데 먹으면 이빨 썩을거같아 ㅋㅋㅋㅋ 어재 다먹고 잤어???? ㅔ
준서 자?,아니 안자 출발하게?
나 잠깐 나왔는데 전화해도 돼?,ㅇㅇㅇㅇ
나 출발해요,나 윙스버거에서 밥먹고 얼렁 갈게
ㅋㅋ왜 거기서 먹어,오랜만에 윙스버거먹어보게
그래 나 엘가 가있을게 준서 모해,강의듣고있었ㅇ어 넌 알바중?
네 ㅠ 강의 언제끝나,강의 언제든지 끌 수 있지 저번에 못 들었던거 듣고있었어 ㅋㅋㅋㅋ 카페 가서 마저 공부할까?
진짜??? 나 오라고 조르려고 연락한거아닌데 너 안 귀찮으면 난 넘 좋아,ㅌㅋㅌㅋㅋㅋㅋㅋ 갈까 말까 생각중이였는데 연락온김에 가야지 주소 알려줘
샵검색 : #듀드롭 첫번째ㅠㅠ 내가 커피사쥬께 근데 오기 조금 멀고 조금 귀찮을거야,ㅋㅋㅋㅋ 일단 출발합니다~
아싸 그러면 여기 매장 앞에 파리바게트 있거든? 혹시 오는 길에 나 팥빵하나만 사다주면 안될까 배고파서,팥빵 좋지 나 늦을수도 있어 좀만 참아
네ㅠㅠ 고마어 지하철보다 버스가 더 편해,갑자기 나도 배고프네 거의 다왔어
덕분에 살았다 ㅠ 잘먹었어 고마어,어잉
심심하면 나 보러 와,엎드려서 잘거같아 ㅋㅋㅋㅋ 따듯해서 졸리다
온도 내렸삼 과제 다했어?,👍 오늘은 과제 없어 그냥 공부중 잠깰겸 먼저 피고있을게
나도 전화할래,엉 기다려봐 오늘 알바가서 기절할지도..? 푹잤어??
응응 전화 끊고 얼마 안 지나서 바로 잤어,뭐야 일찍 일어났네? 언제 깼어?
카톡 왔길래 강의 듣는중?,ㅋㅋㅋㅋㅋㅋ 응 강의듣고있는데 뭐라고하시는지 귀에 안들어와
